target,ligand,seed,affinity
enpp1,TZV_native,15,-9.1
enpp2,CHEMBL6149286,15,-10.1
enpp2,CHEMBL5826130,15,-7.4
enpp2,CHEMBL6174154,15,-8.8
enpp2,CHEMBL5915707,15,-6.8
enpp2,TZV_native,15,-8.4
enpp2,CHEMBL5555976,15,-8.2
enpp3,CHEMBL5826130,15,-7.7
enpp2,CHEMBL6149286,15,-10.1
enpp3,CHEMBL5915707,15,-7.4
enpp2,CHEMBL6174154,15,-8.8
enpp3,CHEMBL5555976,15,-7.7
enpp2,TZV_native,15,-8.4
enpp3,CHEMBL6149286,15,-10.9
enpp3,CHEMBL6174154,15,-10.3
enpp3,CHEMBL5826130,15,-7.7
enpp3,TZV_native,15,-10.0
enpp3,CHEMBL5915707,15,-7.4
enpp1,CHEMBL5826130,16,-7.8
enpp3,CHEMBL5555976,15,-7.7
enpp1,CHEMBL5915707,16,-7.9
enpp3,CHEMBL6149286,15,-10.9
enpp3,CHEMBL6174154,15,-10.3
enpp1,CHEMBL5555976,16,-8.2
enpp3,TZV_native,15,-10.0
enpp1,CHEMBL6149286,16,-9.1
enpp1,CHEMBL6174154,16,-9.0
enpp1,CHEMBL5826130,16,-7.8
enpp1,TZV_native,16,-9.0
enpp1,CHEMBL5915707,16,-7.9
enpp2,CHEMBL5826130,16,-7.4
enpp1,CHEMBL5555976,16,-8.2
enpp2,CHEMBL5915707,16,-6.8
enpp1,CHEMBL6149286,16,-9.1
enpp1,CHEMBL6174154,16,-9.0
enpp2,CHEMBL5555976,16,-7.9
enpp1,TZV_native,16,-9.0
enpp2,CHEMBL6149286,16,-10.1
enpp2,CHEMBL5826130,16,-7.4
enpp2,CHEMBL6174154,16,-8.8
enpp2,CHEMBL5915707,16,-6.8
enpp2,TZV_native,16,-8.5
enpp2,CHEMBL5555976,16,-7.9
enpp3,CHEMBL5826130,16,-7.7
enpp2,CHEMBL6149286,16,-10.1
enpp3,CHEMBL5915707,16,-7.5
enpp2,CHEMBL6174154,16,-8.8
enpp3,CHEMBL5555976,16,-7.7
enpp2,TZV_native,16,-8.5
enpp3,CHEMBL6149286,16,-11.0
enpp3,CHEMBL6174154,16,-10.3
enpp3,CHEMBL5826130,16,-7.7
enpp3,TZV_native,16,-10.0
enpp3,CHEMBL5915707,16,-7.5
enpp1,CHEMBL5826130,17,-7.8
enpp3,CHEMBL5555976,16,-7.7
enpp1,CHEMBL5915707,17,-7.9
enpp3,CHEMBL6149286,16,-11.0
enpp1,CHEMBL5555976,17,-8.2
enpp3,CHEMBL6174154,16,-10.3
enpp3,TZV_native,16,-10.0
enpp1,CHEMBL6149286,17,-9.5
enpp1,CHEMBL6174154,17,-8.8
enpp1,CHEMBL5826130,17,-7.8
enpp1,TZV_native,17,-8.4
enpp1,CHEMBL5915707,17,-7.9
enpp2,CHEMBL5826130,17,-7.3
enpp1,CHEMBL5555976,17,-8.2
enpp1,CHEMBL6149286,17,-9.5
enpp2,CHEMBL5915707,17,-6.8
enpp1,CHEMBL6174154,17,-8.8
enpp2,CHEMBL5555976,17,-8.2
enpp1,TZV_native,17,-8.4
enpp2,CHEMBL6149286,17,-10.1
enpp2,CHEMBL5826130,17,-7.3
enpp2,CHEMBL6174154,17,-9.0
enpp2,CHEMBL5915707,17,-6.8
enpp2,TZV_native,17,-8.4
enpp2,CHEMBL5555976,17,-8.2
enpp3,CHEMBL5826130,17,-7.7
enpp2,CHEMBL6149286,17,-10.1
enpp3,CHEMBL5915707,17,-7.4
enpp2,CHEMBL6174154,17,-9.0
enpp3,CHEMBL5555976,17,-7.7
enpp2,TZV_native,17,-8.4
enpp3,CHEMBL6149286,17,-11.0
enpp3,CHEMBL6174154,17,-10.2
enpp3,CHEMBL5826130,17,-7.7
enpp3,TZV_native,17,-9.9
enpp3,CHEMBL5915707,17,-7.4
enpp1,CHEMBL5826130,18,-7.8
enpp3,CHEMBL5555976,17,-7.7
enpp1,CHEMBL5915707,18,-7.9
enpp3,CHEMBL6149286,17,-11.0
enpp1,CHEMBL5555976,18,-8.2
enpp3,CHEMBL6174154,17,-10.2
enpp3,TZV_native,17,-9.9
enpp1,CHEMBL6149286,18,-9.3
enpp1,CHEMBL6174154,18,-9.1
enpp1,CHEMBL5826130,18,-7.8
enpp1,TZV_native,18,-8.9
